Wed Mar 29 16:06:32 EDT 2017 |  coup M : f6e4
Wed Mar 29 16:07:33 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 16:07:33 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 16:07:33 EDT 2017 |  coup M : g8f6
Wed Mar 29 16:07:47 EDT 2017 |  coup(joue) H : a3c1
Wed Mar 29 16:07:47 EDT 2017 |  coup(inscrit) H : a3c1
Wed Mar 29 16:07:47 EDT 2017 |  coup M : f6e4
Wed Mar 29 16:07:59 EDT 2017 |  coup(joue) H : c1e4
Wed Mar 29 16:07:59 EDT 2017 |  coup(inscrit) H : c1e4
Wed Mar 29 16:08:04 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 16:08:04 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 16:08:04 EDT 2017 |  coup M : d8d4
Wed Mar 29 16:08:16 EDT 2017 |  coup(joue) H : e3c1
Wed Mar 29 16:08:16 EDT 2017 |  coup(inscrit) H : e3c1
Wed Mar 29 16:08:16 EDT 2017 |  coup M : b7a6
